#           time             x_1             y_1             x_2                 y_2         theta_1         theta_2              y2         omega_2
      0.00000000      0.00000000      5.00000000      0.00000000      6.00000000      3.14159265      3.14159265      0.00000000      0.00000000
      0.10000000      0.00000770      5.00000000     -0.01416523      5.99989956      3.14158880      3.15576606      0.00000000      0.00000000
      0.20000000      0.00006179      5.00000000     -0.02846942      5.99959290      3.14156176      3.17012773      0.00000000      0.00000000
      0.30000000      0.00020946      4.99999999     -0.04305294      5.99906373      3.14148792      3.18486856      0.00000000      0.00000000
      0.40000000      0.00049945      4.99999994     -0.05805904      5.99828392      3.14134293      3.20018466      0.00000000      0.00000000
      0.50000000      0.00098285      4.99999976     -0.07363512      5.99721195      3.14110123      3.21628004      0.00000000      0.00000000
      0.60000000      0.00171380      4.99999927     -0.08993398      5.99579075      3.14073575      3.23336922      0.00000000      0.00000000
      0.70000000      0.00275023      4.99999811     -0.10711486      5.99394462      3.14021754      3.25167997      0.00000000      0.00000000
      0.80000000      0.00415441      4.99999569     -0.12534412      5.99157530      3.13951545      3.27145589      0.00000000      0.00000000
      0.90000000      0.00599346      4.99999102     -0.14479557      5.98855699      3.13859592      3.29295903      0.00000000      0.00000000
      1.00000000      0.00833958      4.99998261     -0.16565002      5.98473010      3.13742285      3.31647228      0.00000000      0.00000000
      1.10000000      0.01126999      4.99996825     -0.18809396      5.97989376      3.13595763      3.34230146      0.00000000      0.00000000
      1.20000000      0.01486643      4.99994475     -0.21231682      5.97379677      3.13415937      3.37077697      0.00000000      0.00000000
      1.30000000      0.01921391      4.99990770     -0.23850637      5.96612727      3.13198555      3.40225469      0.00000000      0.00000000
      1.40000000      0.02439866      4.99985117     -0.26684165      5.95650110      3.12939302      3.43711575      0.00000000      0.00000000
      1.50000000      0.03050484      4.99976735     -0.29748263      5.94444942      3.12633964      3.47576506      0.00000000      0.00000000
      1.60000000      0.03760977      4.99964634     -0.33055582      5.92940658      3.12278666      3.51862791      0.00000000      0.00000000
      1.70000000      0.04577737      4.99947604     -0.36613526      5.91069938      3.11870197      3.56614469      0.00000000      0.00000000
      1.80000000      0.05504962      4.99924224     -0.40421818      5.88754010      3.11406437      3.61876341      0.00000000      0.00000000
      1.90000000      0.06543610      4.99892924     -0.44469557      5.85902557      3.10886876      3.67693052      0.00000000      0.00000000
      2.00000000      0.07690173      4.99852098     -0.48731823      5.82414550      3.10313231      3.74108082      0.00000000      0.00000000
      2.10000000      0.08935360      4.99800299     -0.53166007      5.78180272      3.09690098      3.81162797      0.00000000      0.00000000
      2.20000000      0.10262759      4.99736516     -0.57708085      5.73084757      3.09025631      3.88895771      0.00000000      0.00000000
      2.30000000      0.11647618      4.99660544     -0.62269127      5.67012715      3.08332159      3.97342605      0.00000000      0.00000000
