#                             t                            ox                            oy                            oz
                    0.00000000             14510395.63939353             14510395.63939353             14510393.46283440
                    0.01000000             14191156.28656589             14822761.09478599             14510393.46283440
                    0.02000000             13865194.26711262             15128104.67829480             14510393.46283440
                    0.03000000             13532663.99649822             15426281.74186756             14510393.46283440
                    0.04000000             13193723.00171397             15717151.03239190             14510393.46283440
                    0.05000000             12848531.84665388             16000574.75861018             14510393.46283440
                    0.06000000             12497254.05605203             16276418.65639433             14510393.46283440
                    0.07000000             12140056.03801722             16544552.05234975             14510393.46283440
                    0.08000000             11777107.00520177             16804847.92571816             14510393.46283440
                    0.09000000             11408578.89464176             17057182.96855022             14510393.46283440
                    0.10000000             11034646.28630652             17301437.64411920             14510393.46283440
                    0.11000000             10655486.32039633             17537496.24354822             14510393.46283440
                    0.12000000             10271278.61342710             17765246.94062411             14510393.46283440
                    0.13000000              9882205.17314204             17984581.84477199             14510393.46283440
                    0.14000000              9488450.31229053             18195397.05216541             14510393.46283440
                    0.15000000              9090200.56131510             18397592.69494791             14510393.46283440
                    0.16000000              8687644.57998776             18591072.98854269             14510393.46283440
                    0.17000000              8280973.06803773             18775746.27702783             14510393.46283440
                    0.18000000              7870378.67481267             18951525.07655578             14510393.46283440
                    0.19000000              7456055.90801643             19118326.11679642             14510393.46283440
                    0.20000000              7038201.04156642             19276070.38038403             14510393.46283440
                    0.21000000              6617012.02261427             19424683.14034959             14510393.46283440
                    0.22000000              6192688.37777386             19564093.99552062             14510393.46283440
                    0.23000000              5765431.11860116             19694236.90387178             14510393.46283440
                    0.24000000              5335442.64637052             19815050.21381043             14510393.46283440
                    0.25000000              4902926.65619272             19926476.69338237             14510393.46283440
                    0.26000000              4468088.04052006             20028463.55738392             14510393.46283440
                    0.27000000              4031132.79208423             20120962.49236740             14510393.46283440
                    0.28000000              3592267.90631299             20203929.67952830             14510393.46283440
                    0.29000000              3151701.28327179             20277325.81546324             14510393.46283440
                    0.30000000              2709641.62917693             20341116.13078885             14510393.46283440
                    0.31000000              2266298.35752674             20395270.40661282             14510393.46283440
                    0.32000000              1821881.48989776             20439762.98884925             14510393.46283440
                    0.33000000              1376601.55645285             20474572.80037152             14510393.46283440
                    0.34000000               930669.49620834             20499683.35099709             14510393.46283440
                    0.35000000               484296.55710756             20515082.74529918             14510393.46283440
                    0.36000000                37694.19594797             20520763.68824192             14510393.46283440
                    0.37000000              -408926.02179065             20516723.48863622             14510393.46283440
                    0.38000000              -855352.52216945             20502964.06041456             14510393.46283440
                    0.39000000             -1301373.82301781             20479491.92172440             14510393.46283440
                    0.40000000             -1746778.63411716             20446318.19184033             14510393.46283440
                    0.41000000             -2191355.95729381             20403458.58589666             14510393.46283440
                    0.42000000             -2634895.18637357             20350933.40744279             14510393.46283440
                    0.43000000             -3077186.20695048             20288767.53882496             14510393.46283440
                    0.44000000             -3518019.49592278             20216990.42939896             14510393.46283440
                    0.45000000             -3957186.22074858             20135636.08157929             14510393.46283440
                    0.46000000             -4394478.33837456             20044743.03473145             14510393.46283440
                    0.47000000             -4829688.69379053             19944354.34691503             14510393.46283440
                    0.48000000             -5262611.11816342             19834517.57448609             14510393.46283440
                    0.49000000             -5693040.52650401             19715284.74956869             14510393.46283440
                    0.50000000             -6120773.01482028             19586712.35540612             14510393.46283440
                    0.51000000             -6545605.95671124             19448861.29960352             14510393.46283440
                    0.52000000             -6967338.09935561             19301796.88527457             14510393.46283440
                    0.53000000             -7385769.65884972             19145588.78010599             14510393.46283440
                    0.54000000             -7800702.41484962             18980310.98335439             14510393.46283440
                    0.55000000             -8211939.80447245             18806041.79079115             14510393.46283440
                    0.56000000             -8619287.01541267             18622863.75761201             14510393.46283440
                    0.57000000             -9022551.07822896             18430863.65932883             14510393.46283440
                    0.58000000             -9421540.95775818             18230132.45066206             14510393.46283440
                    0.59000000             -9816067.64361293             18020765.22245352             14510393.46283440
                    0.60000000            -10205944.23972004             17802861.15661970             14510393.46283440
                    0.61000000            -10590986.05285732             17576523.47916711             14510393.46283440
                    0.62000000            -10971010.68014693             17341859.41129184             14510393.46283440
                    0.63000000            -11345838.09546364             17098980.11858642             14510393.46283440
                    0.64000000            -11715290.73471721             16848000.65837828             14510393.46283440
                    0.65000000            -12079193.57996846             16589039.92522451             14510393.46283440
                    0.66000000            -12437374.24233919             16322220.59458884             14510393.46283440
                    0.67000000            -12789663.04367659             16047669.06472756             14510393.46283440
                    0.68000000            -13135893.09693357             15765515.39681186             14510393.46283440
                    0.69000000            -13475900.38522688             15475893.25331494             14510393.46283440
                    0.70000000            -13809523.83953556             15178939.83469314             14510393.46283440
                    0.71000000            -14136605.41500289             14874795.81439101             14510393.46283440
                    0.72000000            -14456990.16580579             14563605.27220119             14510393.46283440
                    0.73000000            -14770526.31855611             14245515.62601057             14510393.46283440
                    0.74000000            -15077065.34419901             13920677.56196519             14510393.46283440
                    0.75000000            -15376462.02837455             13589244.96308686             14510393.46283440
                    0.76000000            -15668574.54020892             13251374.83637532             14510393.46283440
                    0.77000000            -15953264.49950289             12907227.23843054             14510393.46283440
                    0.78000000            -16230397.04228560             12556965.19963036             14510393.46283440
                    0.79000000            -16499840.88470259             12200754.64689934             14510393.46283440
                    0.80000000            -16761468.38520797             11838764.32510552             14510393.46283440
                    0.81000000            -17015155.60503094             11471165.71712220             14510393.46283440
                    0.82000000            -17260782.36688846             11098132.96259268             14510393.46283440
                    0.83000000            -17498232.31191582             10719842.77543645             14510393.46283440
                    0.84000000            -17727392.95478848             10336474.36013585             14510393.46283440
                    0.85000000            -17948155.73700884              9948209.32684295             14510393.46283440
                    0.86000000            -18160416.07833282              9555231.60534675             14510393.46283440
                    0.87000000            -18364073.42631186              9157727.35794157             14510393.46283440
                    0.88000000            -18559031.30392685              8755884.89123779             14510393.46283440
                    0.89000000            -18745197.35529146              8349894.56695685             14510393.46283440
                    0.90000000            -18922483.38940311              7939948.71175266             14510393.46283440
                    0.91000000            -19090805.42192112              7526241.52610217             14510393.46283440
                    0.92000000            -19250083.71495186              7108968.99230830             14510393.46283440
                    0.93000000            -19400242.81482243              6688328.78165873             14510393.46283440
                    0.94000000            -19541211.58782471              6264520.16078466             14510393.46283440
                    0.95000000            -19672923.25391300              5837743.89726370             14510393.46283440
                    0.96000000            -19795315.41833920              5408202.16451188             14510393.46283440
                    0.97000000            -19908330.10121061              4976098.44600954             14510393.46283440
                    0.98000000            -20011913.76495626              4541637.43890671             14510393.46283440
                    0.99000000            -20106017.33968891              4105024.95705350             14510393.46283440
                    1.00000000            -20190596.24645048              3666467.83350150             14510393.46283440
                    1.01000000            -20265610.41833014              3226173.82252235             14510393.46283440
                    1.02000000            -20331024.31944488              2784351.50118995             14510393.46283440
                    1.03000000            -20386806.96177365              2341210.17057281             14510393.46283440
                    1.04000000            -20432931.91983708              1896959.75658352             14510393.46283440
                    1.05000000            -20469377.34321580              1451810.71053213             14510393.46283440
                    1.06000000            -20496125.96690153              1005973.90943072             14510393.46283440
                    1.07000000            -20513165.11947580               559660.55609623             14510393.46283440
                    1.08000000            -20520486.72911278               113082.07909901             14510393.46283440
                    1.09000000            -20518087.32740300              -333549.96739561             14510393.46283440
                    1.10000000            -20505968.05099649              -780024.00384524             14510393.46283440
                    1.11000000            -20484134.64106426             -1226128.52556037             14510393.46283440
                    1.12000000            -20452597.44057862             -1671652.20289882             14510393.46283440
                    1.13000000            -20411371.38941348             -2116383.98137737             14510393.46283440
                    1.14000000            -20360476.01726697             -2560113.18165287             14510393.46283440
                    1.15000000            -20299935.43440981             -3002629.59932580             14510393.46283440
                    1.16000000            -20229778.32026374             -3443723.60451877             14510393.46283440
                    1.17000000            -20150037.90981544             -3883186.24118281             14510393.46283440
                    1.18000000            -20060751.97787235             -4320809.32608458             14510393.46283440
                    1.19000000            -19961962.82116795             -4756385.54742733             14510393.46283440
                    1.20000000            -19853717.23832481             -5189708.56305914             14510393.46283440
                    1.21000000            -19736066.50768508             -5620573.09822181             14510393.46283440
                    1.22000000            -19609066.36301875             -6048775.04279404             14510393.46283440
                    1.23000000            -19472776.96712139             -6474111.54798299             14510393.46283440
                    1.24000000            -19327262.88331361             -6896381.12241821             14510393.46283440
                    1.25000000            -19172593.04485606             -7315383.72760263             14510393.46283440
                    1.26000000            -19008840.72229415             -7730920.87267526             14510393.46283440
                    1.27000000            -18836083.48874820             -8142795.70844068             14510393.46283440
                    1.28000000            -18654403.18316532             -8550813.12062090             14510393.46283440
                    1.29000000            -18463885.87155043             -8954779.82228539             14510393.46283440
                    1.30000000            -18264621.80619496             -9354504.44541532             14510393.46283440
                    1.31000000            -18056705.38292226             -9749797.63155890             14510393.46283440
                    1.32000000            -17840235.09637026            -10140472.12153471             14510393.46283440
                    1.33000000            -17615313.49333229            -10526342.84414048             14510393.46283440
                    1.34000000            -17382047.12417844            -10907227.00382549             14510393.46283440
                    1.35000000            -17140546.49238029            -11282944.16728488             14510393.46283440
                    1.36000000            -16890926.00216289            -11653316.34893492             14510393.46283440
                    1.37000000            -16633303.90430899            -12018168.09522874             14510393.46283440
                    1.38000000            -16367802.24014099            -12377326.56777257             14510393.46283440
                    1.39000000            -16094546.78370723            -12730621.62520315             14510393.46283440
                    1.40000000            -15813666.98220009            -13077885.90378751             14510393.46283440
                    1.41000000            -15525295.89463388            -13418954.89670682             14510393.46283440
                    1.42000000            -15229570.12881189            -13753667.03198700             14510393.46283440
