Timestamp,Event,Event Data
3:19:37 PM 10/8/2020,Boiler Initialized,0
3:19:42 PM 10/8/2020,Boiler Ready,0
3:19:44 PM 10/8/2020,Start Pre-Purge,0.10
3:19:44 PM 10/8/2020,Start Pre-Purge,0.20
3:19:44 PM 10/8/2020,Start Pre-Purge,0.30
3:19:44 PM 10/8/2020,Start Pre-Purge,0.40
3:19:44 PM 10/8/2020,Start Pre-Purge,0.50
3:19:45 PM 10/8/2020,Start Pre-Purge,0.60
3:19:45 PM 10/8/2020,Start Pre-Purge,0.70
3:19:45 PM 10/8/2020,Start Pre-Purge,0.80
3:19:45 PM 10/8/2020,Start Pre-Purge,0.90
3:19:45 PM 10/8/2020,Start Pre-Purge,1.02
3:19:45 PM 10/8/2020,Start Pre-Purge,1.12
3:19:45 PM 10/8/2020,Start Pre-Purge,1.22
3:19:45 PM 10/8/2020,Start Pre-Purge,1.32
3:19:45 PM 10/8/2020,Start Pre-Purge,1.42
3:19:45 PM 10/8/2020,Start Pre-Purge,1.52
3:19:46 PM 10/8/2020,Start Pre-Purge,1.62
3:19:46 PM 10/8/2020,Start Pre-Purge,1.72
3:19:46 PM 10/8/2020,Start Pre-Purge,1.82
3:19:46 PM 10/8/2020,Start Pre-Purge,1.92
3:19:46 PM 10/8/2020,Start Pre-Purge,2.02
3:19:46 PM 10/8/2020,Start Pre-Purge,2.12
3:19:46 PM 10/8/2020,Start Pre-Purge,2.22
3:19:46 PM 10/8/2020,Start Pre-Purge,2.32
3:19:46 PM 10/8/2020,Start Pre-Purge,2.42
3:19:46 PM 10/8/2020,Start Pre-Purge,2.52
3:19:47 PM 10/8/2020,Start Pre-Purge,2.62
3:19:47 PM 10/8/2020,Start Pre-Purge,2.72
3:19:47 PM 10/8/2020,Start Pre-Purge,2.82
3:19:47 PM 10/8/2020,Start Pre-Purge,2.92
3:19:47 PM 10/8/2020,Start Pre-Purge,3.02
3:19:47 PM 10/8/2020,Start Pre-Purge,3.12
3:19:47 PM 10/8/2020,Start Pre-Purge,3.22
3:19:47 PM 10/8/2020,Start Pre-Purge,3.33
3:19:47 PM 10/8/2020,Start Pre-Purge,3.43
3:19:47 PM 10/8/2020,Start Pre-Purge,3.52
3:19:48 PM 10/8/2020,Start Pre-Purge,3.62
3:19:48 PM 10/8/2020,Start Pre-Purge,3.73
3:19:48 PM 10/8/2020,Start Pre-Purge,3.83
3:19:48 PM 10/8/2020,Start Pre-Purge,3.93
3:19:48 PM 10/8/2020,Start Pre-Purge,4.03
3:19:48 PM 10/8/2020,Start Pre-Purge,4.13
3:19:48 PM 10/8/2020,Start Pre-Purge,4.23
3:19:48 PM 10/8/2020,Start Pre-Purge,4.33
3:19:48 PM 10/8/2020,Start Pre-Purge,4.43
3:19:48 PM 10/8/2020,Start Pre-Purge,4.53
3:19:49 PM 10/8/2020,Start Pre-Purge,4.63
3:19:49 PM 10/8/2020,Start Pre-Purge,4.73
3:19:49 PM 10/8/2020,Start Pre-Purge,4.83
