Timestamp,Event,Event Data
4:45:43.417 PM 10/6/2020,Boiler Initialized,0 
4:45:46.821 PM 10/6/2020,Boiler Ready,0 
4:45:47.822 PM 10/6/2020,Start Pre-Purge,0.00 
4:45:47.921 PM 10/6/2020,Start Pre-Purge,0.10 
4:45:48.022 PM 10/6/2020,Start Pre-Purge,0.20 
4:45:48.122 PM 10/6/2020,Start Pre-Purge,0.30 
4:45:48.223 PM 10/6/2020,Start Pre-Purge,0.40 
4:45:48.323 PM 10/6/2020,Start Pre-Purge,0.50 
4:45:48.423 PM 10/6/2020,Start Pre-Purge,0.60 
4:45:48.522 PM 10/6/2020,Start Pre-Purge,0.70 
4:45:48.623 PM 10/6/2020,Start Pre-Purge,0.80 
4:45:48.725 PM 10/6/2020,Start Pre-Purge,0.90 
4:45:48.826 PM 10/6/2020,Start Pre-Purge,1.00 
4:45:48.927 PM 10/6/2020,Start Pre-Purge,1.11 
4:45:49.026 PM 10/6/2020,Start Pre-Purge,1.20 
4:45:49.127 PM 10/6/2020,Start Pre-Purge,1.31 
4:45:49.229 PM 10/6/2020,Start Pre-Purge,1.41 
4:45:49.329 PM 10/6/2020,Start Pre-Purge,1.51 
4:45:49.429 PM 10/6/2020,Start Pre-Purge,1.61 
4:45:49.529 PM 10/6/2020,Start Pre-Purge,1.71 
4:45:49.631 PM 10/6/2020,Start Pre-Purge,1.81 
4:45:49.731 PM 10/6/2020,Start Pre-Purge,1.91 
4:45:49.831 PM 10/6/2020,Start Pre-Purge,2.01 
4:45:49.932 PM 10/6/2020,Start Pre-Purge,2.11 
4:45:50.032 PM 10/6/2020,Start Pre-Purge,2.21 
4:45:50.133 PM 10/6/2020,Start Pre-Purge,2.31 
4:45:50.234 PM 10/6/2020,Start Pre-Purge,2.41 
4:45:50.334 PM 10/6/2020,Start Pre-Purge,2.51 
4:45:50.433 PM 10/6/2020,Start Pre-Purge,2.61 
4:45:50.534 PM 10/6/2020,Start Pre-Purge,2.71 
4:45:50.633 PM 10/6/2020,Start Pre-Purge,2.81 
4:45:50.733 PM 10/6/2020,Start Pre-Purge,2.91 
4:45:50.834 PM 10/6/2020,Start Pre-Purge,3.01 
4:45:50.934 PM 10/6/2020,Start Pre-Purge,3.11 
4:45:51.034 PM 10/6/2020,Start Pre-Purge,3.21 
4:45:51.133 PM 10/6/2020,Start Pre-Purge,3.31 
4:45:51.235 PM 10/6/2020,Start Pre-Purge,3.41 
4:45:51.335 PM 10/6/2020,Start Pre-Purge,3.51 
4:45:51.437 PM 10/6/2020,Start Pre-Purge,3.61 
4:45:51.536 PM 10/6/2020,Start Pre-Purge,3.71 
4:45:51.636 PM 10/6/2020,Start Pre-Purge,3.81 
4:45:51.738 PM 10/6/2020,Start Pre-Purge,3.92 
4:45:51.838 PM 10/6/2020,Start Pre-Purge,4.02 
4:45:51.937 PM 10/6/2020,Start Pre-Purge,4.12 
4:45:52.039 PM 10/6/2020,Start Pre-Purge,4.22 
4:45:52.139 PM 10/6/2020,Start Pre-Purge,4.32 
4:45:52.239 PM 10/6/2020,Start Pre-Purge,4.42 
4:45:52.340 PM 10/6/2020,Start Pre-Purge,4.52 
4:45:52.441 PM 10/6/2020,Start Pre-Purge,4.62 
4:45:52.540 PM 10/6/2020,Start Pre-Purge,4.72 
4:45:52.641 PM 10/6/2020,Start Pre-Purge,4.82 
4:45:52.741 PM 10/6/2020,Start Pre-Purge,4.92 
4:45:52.840 PM 10/6/2020,Start Pre-Purge,5.02 
4:45:52.942 PM 10/6/2020,Start Pre-Purge,5.12 
4:45:53.042 PM 10/6/2020,Start Pre-Purge,5.22 
4:45:53.142 PM 10/6/2020,Start Pre-Purge,5.32 
4:45:53.241 PM 10/6/2020,Start Pre-Purge,5.42 
4:45:53.343 PM 10/6/2020,Start Pre-Purge,5.52 
4:45:53.443 PM 10/6/2020,Start Pre-Purge,5.62 
4:45:53.544 PM 10/6/2020,Start Pre-Purge,5.72 
4:45:53.643 PM 10/6/2020,Start Pre-Purge,5.82 
4:45:53.743 PM 10/6/2020,Start Pre-Purge,5.92 
4:45:53.845 PM 10/6/2020,Start Pre-Purge,6.02 
4:45:53.945 PM 10/6/2020,Start Pre-Purge,6.12 
4:45:54.045 PM 10/6/2020,Start Pre-Purge,6.22 
4:45:54.144 PM 10/6/2020,Start Pre-Purge,6.32 
4:45:54.246 PM 10/6/2020,Start Pre-Purge,6.42 
4:45:54.347 PM 10/6/2020,Start Pre-Purge,6.52 
4:45:54.448 PM 10/6/2020,Start Pre-Purge,6.63 
4:45:54.549 PM 10/6/2020,Start Pre-Purge,6.73 
4:45:54.649 PM 10/6/2020,Start Pre-Purge,6.83 
4:45:54.749 PM 10/6/2020,Start Pre-Purge,6.93 
4:45:54.849 PM 10/6/2020,Start Pre-Purge,7.03 
4:45:54.950 PM 10/6/2020,Start Pre-Purge,7.13 
4:45:55.049 PM 10/6/2020,Start Pre-Purge,7.23 
4:45:55.150 PM 10/6/2020,Start Pre-Purge,7.33 
4:45:55.250 PM 10/6/2020,Start Pre-Purge,7.43 
4:45:55.350 PM 10/6/2020,Start Pre-Purge,7.53 
4:45:55.450 PM 10/6/2020,Start Pre-Purge,7.63 
4:45:55.550 PM 10/6/2020,Start Pre-Purge,7.73 
4:45:55.649 PM 10/6/2020,Start Pre-Purge,7.83 
4:45:55.750 PM 10/6/2020,Start Pre-Purge,7.93 
4:45:55.850 PM 10/6/2020,Start Pre-Purge,8.03 
4:45:55.952 PM 10/6/2020,Start Pre-Purge,8.13 
4:45:56.052 PM 10/6/2020,Start Pre-Purge,8.23 
4:45:56.152 PM 10/6/2020,Start Pre-Purge,8.33 
4:45:56.253 PM 10/6/2020,Start Pre-Purge,8.43 
4:45:56.353 PM 10/6/2020,Start Pre-Purge,8.53 
4:45:56.454 PM 10/6/2020,Start Pre-Purge,8.63 
4:45:56.555 PM 10/6/2020,Start Pre-Purge,8.73 
4:45:56.655 PM 10/6/2020,Start Pre-Purge,8.83 
4:45:56.755 PM 10/6/2020,Start Pre-Purge,8.93 
4:45:56.855 PM 10/6/2020,Start Pre-Purge,9.03 
4:45:56.955 PM 10/6/2020,Start Pre-Purge,9.13 
4:45:57.055 PM 10/6/2020,Start Pre-Purge,9.23 
4:45:57.156 PM 10/6/2020,Start Pre-Purge,9.33 
4:45:57.256 PM 10/6/2020,Start Pre-Purge,9.43 
4:45:57.356 PM 10/6/2020,Start Pre-Purge,9.53 
4:45:57.458 PM 10/6/2020,Start Pre-Purge,9.64 
4:45:57.558 PM 10/6/2020,Start Pre-Purge,9.74 
4:45:57.659 PM 10/6/2020,Start Pre-Purge,9.84 
4:45:57.760 PM 10/6/2020,Start Pre-Purge,9.94 
4:45:57.860 PM 10/6/2020,Start Pre-Purge,10.04 
4:45:57.960 PM 10/6/2020,Pre-Purge Complete,10.00 
4:45:59.664 PM 10/6/2020,Pilot ON,True 
4:46:01.782 PM 10/6/2020,Pilot Proved,56.30 
4:46:01.883 PM 10/6/2020,Pilot Proved,76.47 
4:46:01.984 PM 10/6/2020,Pilot Proved,81.51 
4:46:03.588 PM 10/6/2020,Forced Draft Fan ON,True 
4:46:05.590 PM 10/6/2020,Boiler Running,31.85 
4:46:05.692 PM 10/6/2020,Boiler Running,34.25 
4:46:05.792 PM 10/6/2020,Boiler Running,36.11 
4:46:05.993 PM 10/6/2020,Boiler Running,36.54 
4:46:08.105 PM 10/6/2020,Start Shutdown Purge,0.00 
4:46:08.207 PM 10/6/2020,Start Shutdown Purge,0.10 
4:46:08.306 PM 10/6/2020,Start Shutdown Purge,0.20 
4:46:08.407 PM 10/6/2020,Start Shutdown Purge,0.30 
4:46:08.506 PM 10/6/2020,Start Shutdown Purge,0.40 
4:46:08.608 PM 10/6/2020,Start Shutdown Purge,0.50 
4:46:08.707 PM 10/6/2020,Start Shutdown Purge,0.60 
4:46:08.809 PM 10/6/2020,Start Shutdown Purge,0.70 
4:46:08.909 PM 10/6/2020,Start Shutdown Purge,0.80 
4:46:09.008 PM 10/6/2020,Start Shutdown Purge,0.90 
4:46:09.109 PM 10/6/2020,Start Shutdown Purge,1.00 
4:46:09.209 PM 10/6/2020,Start Shutdown Purge,1.10 
4:46:09.309 PM 10/6/2020,Start Shutdown Purge,1.20 
4:46:09.411 PM 10/6/2020,Start Shutdown Purge,1.31 
4:46:09.510 PM 10/6/2020,Start Shutdown Purge,1.41 
4:46:09.610 PM 10/6/2020,Start Shutdown Purge,1.51 
4:46:09.710 PM 10/6/2020,Start Shutdown Purge,1.61 
4:46:09.812 PM 10/6/2020,Start Shutdown Purge,1.71 
4:46:09.912 PM 10/6/2020,Start Shutdown Purge,1.81 
4:46:10.014 PM 10/6/2020,Start Shutdown Purge,1.91 
4:46:10.113 PM 10/6/2020,Start Shutdown Purge,2.01 
4:46:10.214 PM 10/6/2020,Start Shutdown Purge,2.11 
4:46:10.315 PM 10/6/2020,Start Shutdown Purge,2.21 
4:46:10.415 PM 10/6/2020,Start Shutdown Purge,2.31 
4:46:10.515 PM 10/6/2020,Start Shutdown Purge,2.41 
4:46:10.614 PM 10/6/2020,Start Shutdown Purge,2.51 
4:46:10.714 PM 10/6/2020,Start Shutdown Purge,2.61 
4:46:10.814 PM 10/6/2020,Start Shutdown Purge,2.71 
4:46:10.916 PM 10/6/2020,Start Shutdown Purge,2.81 
4:46:11.016 PM 10/6/2020,Start Shutdown Purge,2.91 
4:46:11.115 PM 10/6/2020,Start Shutdown Purge,3.01 
4:46:11.215 PM 10/6/2020,Start Shutdown Purge,3.11 
4:46:11.316 PM 10/6/2020,Start Shutdown Purge,3.21 
4:46:11.417 PM 10/6/2020,Start Shutdown Purge,3.31 
4:46:11.518 PM 10/6/2020,Start Shutdown Purge,3.41 
4:46:11.618 PM 10/6/2020,Start Shutdown Purge,3.51 
4:46:11.718 PM 10/6/2020,Start Shutdown Purge,3.61 
4:46:11.819 PM 10/6/2020,Start Shutdown Purge,3.71 
4:46:11.919 PM 10/6/2020,Start Shutdown Purge,3.81 
4:46:12.018 PM 10/6/2020,Start Shutdown Purge,3.91 
4:46:12.120 PM 10/6/2020,Start Shutdown Purge,4.01 
4:46:12.220 PM 10/6/2020,Start Shutdown Purge,4.11 
4:46:12.320 PM 10/6/2020,Start Shutdown Purge,4.21 
4:46:12.420 PM 10/6/2020,Start Shutdown Purge,4.31 
4:46:12.521 PM 10/6/2020,Start Shutdown Purge,4.42 
4:46:12.622 PM 10/6/2020,Start Shutdown Purge,4.52 
4:46:12.722 PM 10/6/2020,Start Shutdown Purge,4.62 
4:46:12.822 PM 10/6/2020,Start Shutdown Purge,4.72 
4:46:12.921 PM 10/6/2020,Start Shutdown Purge,4.82 
4:46:13.022 PM 10/6/2020,Start Shutdown Purge,4.92 
4:46:13.122 PM 10/6/2020,Start Shutdown Purge,5.02 
4:46:13.223 PM 10/6/2020,Start Shutdown Purge,5.12 
4:46:13.322 PM 10/6/2020,Start Shutdown Purge,5.22 
4:46:13.423 PM 10/6/2020,Start Shutdown Purge,5.32 
4:46:13.524 PM 10/6/2020,Start Shutdown Purge,5.42 
4:46:13.623 PM 10/6/2020,Start Shutdown Purge,5.52 
4:46:13.724 PM 10/6/2020,Start Shutdown Purge,5.62 
4:46:13.823 PM 10/6/2020,Start Shutdown Purge,5.72 
4:46:13.924 PM 10/6/2020,Start Shutdown Purge,5.82 
4:46:14.024 PM 10/6/2020,Start Shutdown Purge,5.92 
4:46:14.124 PM 10/6/2020,Start Shutdown Purge,6.02 
4:46:14.224 PM 10/6/2020,Start Shutdown Purge,6.12 
4:46:14.325 PM 10/6/2020,Start Shutdown Purge,6.22 
4:46:14.425 PM 10/6/2020,Start Shutdown Purge,6.32 
4:46:14.526 PM 10/6/2020,Start Shutdown Purge,6.42 
4:46:14.626 PM 10/6/2020,Start Shutdown Purge,6.52 
4:46:14.725 PM 10/6/2020,Start Shutdown Purge,6.62 
4:46:14.826 PM 10/6/2020,Start Shutdown Purge,6.72 
4:46:14.927 PM 10/6/2020,Start Shutdown Purge,6.82 
4:46:15.028 PM 10/6/2020,Start Shutdown Purge,6.92 
4:46:15.128 PM 10/6/2020,Start Shutdown Purge,7.02 
4:46:15.228 PM 10/6/2020,Start Shutdown Purge,7.12 
4:46:15.330 PM 10/6/2020,Start Shutdown Purge,7.22 
4:46:15.430 PM 10/6/2020,Start Shutdown Purge,7.32 
4:46:15.531 PM 10/6/2020,Start Shutdown Purge,7.43 
4:46:15.631 PM 10/6/2020,Start Shutdown Purge,7.53 
4:46:15.731 PM 10/6/2020,Start Shutdown Purge,7.63 
4:46:15.831 PM 10/6/2020,Start Shutdown Purge,7.73 
4:46:15.931 PM 10/6/2020,Start Shutdown Purge,7.83 
4:46:16.032 PM 10/6/2020,Start Shutdown Purge,7.93 
4:46:16.133 PM 10/6/2020,Start Shutdown Purge,8.03 
4:46:16.232 PM 10/6/2020,Start Shutdown Purge,8.13 
4:46:16.332 PM 10/6/2020,Start Shutdown Purge,8.23 
4:46:16.434 PM 10/6/2020,Start Shutdown Purge,8.33 
4:46:16.534 PM 10/6/2020,Start Shutdown Purge,8.43 
4:46:16.636 PM 10/6/2020,Start Shutdown Purge,8.53 
4:46:16.735 PM 10/6/2020,Start Shutdown Purge,8.63 
4:46:16.837 PM 10/6/2020,Start Shutdown Purge,8.73 
4:46:16.938 PM 10/6/2020,Start Shutdown Purge,8.83 
4:46:17.038 PM 10/6/2020,Start Shutdown Purge,8.93 
4:46:17.139 PM 10/6/2020,Start Shutdown Purge,9.03 
4:46:17.238 PM 10/6/2020,Start Shutdown Purge,9.13 
4:46:17.338 PM 10/6/2020,Start Shutdown Purge,9.23 
4:46:17.438 PM 10/6/2020,Start Shutdown Purge,9.33 
4:46:17.539 PM 10/6/2020,Start Shutdown Purge,9.43 
4:46:17.639 PM 10/6/2020,Start Shutdown Purge,9.53 
4:46:17.741 PM 10/6/2020,Start Shutdown Purge,9.64 
4:46:17.840 PM 10/6/2020,Start Shutdown Purge,9.73 
4:46:17.941 PM 10/6/2020,Start Shutdown Purge,9.84 
4:46:18.041 PM 10/6/2020,Start Shutdown Purge,9.94 
4:46:18.141 PM 10/6/2020,Start Shutdown Purge,10.04 
4:46:18.244 PM 10/6/2020,Boiler Initialized,0 
4:54:42.390 PM 10/6/2020,Boiler Ready,0 
4:54:49.915 PM 10/6/2020,Start Pre-Purge,0.00 
4:54:50.015 PM 10/6/2020,Start Pre-Purge,0.10 
4:54:50.114 PM 10/6/2020,Start Pre-Purge,0.20 
4:54:50.214 PM 10/6/2020,Start Pre-Purge,0.30 
4:54:50.316 PM 10/6/2020,Start Pre-Purge,0.40 
4:54:50.415 PM 10/6/2020,Start Pre-Purge,0.50 
4:54:50.517 PM 10/6/2020,Start Pre-Purge,0.60 
4:54:50.616 PM 10/6/2020,Start Pre-Purge,0.70 
4:54:50.717 PM 10/6/2020,Start Pre-Purge,0.80 
4:54:50.818 PM 10/6/2020,Start Pre-Purge,0.90 
4:54:50.918 PM 10/6/2020,Start Pre-Purge,1.00 
4:54:51.018 PM 10/6/2020,Start Pre-Purge,1.10 
4:54:51.119 PM 10/6/2020,Start Pre-Purge,1.20 
4:54:51.219 PM 10/6/2020,Start Pre-Purge,1.30 
4:54:51.319 PM 10/6/2020,Start Pre-Purge,1.40 
4:54:51.419 PM 10/6/2020,Start Pre-Purge,1.50 
4:54:51.520 PM 10/6/2020,Start Pre-Purge,1.60 
