Diode Type:
Red LED

Date,Time
11/5/2020,2:54:18 PM

V_min (V),V_max (V),# pts,Linear Scale,Log Scale,R_Ref (Ohms),Delay (ms),I_Peak (mA)
1.40000E+0,5.00000E+0,2.00000E+1,False,True,5.00000E+3,1.00000E+2,2.00000E+0

V_Applied (V),I (mA),V_Diode (V)
1.40100E+0,9.96105E-4,1.39449E+0
1.49802E+0,4.31374E-3,1.47710E+0
1.60177E+0,1.17296E-2,1.54508E+0
1.71269E+0,2.50652E-2,1.58834E+0
1.83130E+0,4.23690E-2,1.62021E+0
1.95813E+0,6.31855E-2,1.64331E+0
2.09374E+0,8.63440E-2,1.66120E+0
2.23873E+0,1.12560E-1,1.67486E+0
2.39377E+0,1.40467E-1,1.68722E+0
2.55955E+0,1.71432E-1,1.69763E+0
2.73681E+0,2.04803E-1,1.70706E+0
2.92634E+0,2.40972E-1,1.71454E+0
3.12900E+0,2.79808E-1,1.72267E+0
3.34569E+0,3.21506E-1,1.72918E+0
3.57739E+0,3.66327E-1,1.73536E+0
3.82514E+0,4.14530E-1,1.74186E+0
4.09005E+0,4.65660E-1,1.74804E+0
4.37329E+0,5.21215E-1,1.75259E+0
4.67616E+0,5.80282E-1,1.75877E+0
5.00000E+0,6.43577E-1,1.76398E+0

V_F @ 1.5 mA (V), Slope, Ideality Factor
1.87783E+0,1.78085E+1,2.18363E+0

